region,unit_name,unit_type,reference_period,source,source_endpoint,population,households,persons_per_household
Gyeonggi,파주시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,530201,235658,2.25
Gyeonggi,이천시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,223229,107488,2.08
Gyeonggi,안성시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,197266,97719,2.02
Gyeonggi,김포시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,484334,207773,2.33
Gyeonggi,화성시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,995253,431545,2.31
Gyeonggi,광주시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,397166,176114,2.26
Gyeonggi,양주시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,296830,132909,2.23
Gyeonggi,포천시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,140428,74037,1.90
Gyeonggi,여주시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,113621,56959,1.99
Gyeonggi,연천군,county,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,42684,22689,1.88
Gyeonggi,가평군,county,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,61963,33144,1.87
Gyeonggi,양평군,county,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,126742,63782,1.99
