volume	title	stored_filename	pages	mb	text_sample_chars	source_url
37	제37권 위례신도시 일대의 변천	seongnam-history-50-vol-37.pdf	112	17.45	3931	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378654
38	제38권 고등·신촌지구 일대의 변천	seongnam-history-50-vol-38.pdf	136	10.22	4592	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378653
39	제39권 성남 콘텐츠 50선	seongnam-history-50-vol-39.pdf	152	17.81	4817	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378652
40	제40권 토박이와 이주민의 성남살이	seongnam-history-50-vol-40.pdf	152	17.35	3631	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378651
41	제41권 모란 상설시장과 민속5일장	seongnam-history-50-vol-41.pdf	120	13.9	3768	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378650
42	제42권 성남의 전통 민속놀이	seongnam-history-50-vol-42.pdf	120	41.86	4417	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378649
43	제43권 판교 테크노컬처밸리	seongnam-history-50-vol-43.pdf	128	15.17	3447	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378648
44	제44권 판교 게임·콘텐츠특구	seongnam-history-50-vol-44.pdf	104	19.94	4127	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378647
45	제45권 성남 주택의 변화상과 특색 건축물	seongnam-history-50-vol-45.pdf	136	25.65	3701	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378646
46	제46권 한 권으로 읽는 어린이 성남시사	seongnam-history-50-vol-46.pdf	136	34.0	1797	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378645
47	제47권 한 권으로 읽는 청소년 성남시사	seongnam-history-50-vol-47.pdf	144	23.19	3575	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378644
48	제48권 포토에세이, 성남 ALIGN	seongnam-history-50-vol-48.pdf	128	46.92	1964	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378643
49	제49권 자료로 보는 성남	seongnam-history-50-vol-49.pdf	144	2.71	8941	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378641
50	제50권 길라잡이 성남 사전(事典)	seongnam-history-50-vol-50.pdf	264	4.12	11912	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378640
